,Resident,Work,percent,Number
224,MI,CA,0.023339889,233217
225,IL,CA,0.019122089,243106
226,FL,CA,0.016507461,350467
227,WI,CA,0.033460632,194423
228,ID,CA,0.087146064,152564
229,WY,CA,0.054328347,31225
230,OH,CA,0.018270683,213414
231,NV,CA,0.141136751,426736
232,NH,CA,0.037467411,50774
233,UT,CO,0.06112785,192936
234,ME,CO,0.001359724,1818
235,CO,CO,0.555675118,3144855
236,WY,CO,0.374354932,215159
237,NE,CO,0.114591303,220320
238,OK,CO,0.032406918,127143
239,VT,CO,0.009103011,5696
240,AZ,CO,0.022117671,158186
241,IA,CO,0.020887069,65885
242,ID,CO,0.034304581,60056
243,NY,CO,0.0033186,64770
244,TN,CO,0.014640835,98816
245,NH,CO,0.007748952,10501
246,IN,CO,0.006569257,43942
247,CA,CO,0.006063199,238896
248,IL,CO,0.005352086,68043
249,PA,CO,0.008421323,107799
250,KS,CO,0.046948323,135623
251,OH,CO,0.006023536,70359
252,WV,CO,0.001297053,2341
253,NJ,CO,0.002529904,22514
254,WA,CO,0.011295955,84532
255,AL,CO,0.00644575,31417
256,MT,CO,0.078608238,83226
257,LA,CO,0.008298147,38537
258,AR,CO,0.012322482,37073
259,NM,CO,0.063914801,133184
260,DC,CO,0.001897465,1325
261,NV,CO,0.016809963,50826
262,SC,CO,0.003740059,18861
263,AK,CO,0.033437186,24008
264,CT,CO,0.007323272,26113
265,MN,CO,0.015586978,87428
266,DE,CO,0.001092602,1053
267,HI,CO,0.010626052,14613
268,KY,CO,0.004737983,21092
269,MA,CO,0.003980014,27451
270,SD,CO,0.04131196,36304
271,MD,CO,0.00434922,26132
272,TX,CO,0.013203359,377451
273,NC,CO,0.00449119,46197
274,MS,CO,0.006905436,20530
275,GA,CO,0.007779923,81348
276,OR,CO,0.016772493,70246
277,VA,CO,0.008531647,71680
278,FL,CO,0.007370745,156487
279,ND,CO,0.023426688,17638
280,MI,CO,0.011467837,114589
281,MO,CO,0.018754856,114548
282,WI,CO,0.016878238,98071
283,KS,CT,0.001722185,4975
284,NH,CT,0.089040262,120663
285,MI,CT,0.006420604,64156
286,FL,CT,0.006424904,136406
287,PA,CT,0.019145562,245077
288,RI,CT,0.088895136,93596
289,OR,CT,0.001147757,4807
290,GA,CT,0.004568988,47774
291,MS,CT,0.001569784,4667
292,NY,CT,0.023418805,457071
293,CA,CT,0.001889014,74429
294,DE,CT,0.008551975,8242
295,HI,CT,0.000962038,1323
296,SC,CT,0.00714123,36013
297,ID,CT,0.002207155,3864
298,VT,CT,0.180912762,113202
299,TX,CT,0.002514246,71876
300,MN,CT,0.00203172,11396
301,OH,CT,0.004998767,58389
302,WI,CT,0.004223217,24539
303,TN,CT,0.001818844,12276
304,WV,CT,0.010546519,19035
305,OK,CT,0.002233307,8762
306,KY,CT,0.00023654,1053
307,CT,CT,0.060364759,215246
308,UT,CT,0.005406698,17065
309,AZ,CT,0.002902677,20760
310,ME,CT,0.083955855,112252
311,VA,CT,0.009429089,79220
312,NJ,CT,0.021116619,187920
313,WY,CT,0.014717806,8459
314,MD,CT,0.006889649,41396
315,NM,CT,0.000428069,892
316,IL,CT,0.002864703,36420
317,NV,CT,0.000988899,2990
