REGION,SEX,agebins,POPEST2018_CIV
Idaho,1,51-60,103160
Idaho,1,61-70,95747
Idaho,1,71+,77155
Idaho,1,Total,876172
Idaho,2,10-Jan,130318
Idaho,2,20-Nov,122716
Idaho,2,21-30,112799
Idaho,2,31-40,111995
Idaho,2,41-50,100476
Idaho,2,51-60,106274
Idaho,2,61-70,100793
Idaho,2,71+,89127
Idaho,2,Total,874498
Illinois,0,10-Jan,1700637
Illinois,0,20-Nov,1639477
Illinois,0,21-30,1750794
Illinois,0,31-40,1702125
Illinois,0,41-50,1599031
Illinois,0,51-60,1699704
Illinois,0,61-70,1394834
Illinois,0,71+,1226758
Illinois,0,Total,12713360
Illinois,1,10-Jan,868912
Illinois,1,20-Nov,835071
Illinois,1,21-30,884618
Illinois,1,31-40,853117
Illinois,1,41-50,793292
Illinois,1,51-60,832275
Illinois,1,61-70,661877
Illinois,1,71+,510245
Illinois,1,Total,6239407
Illinois,2,10-Jan,831725
Illinois,2,20-Nov,804406
Illinois,2,21-30,866176
Illinois,2,31-40,849008
Illinois,2,41-50,805739
Illinois,2,51-60,867429
Illinois,2,61-70,732957
Illinois,2,71+,716513
Illinois,2,Total,6473953
Indiana,0,10-Jan,938082
Indiana,0,20-Nov,911434
Indiana,0,21-30,917425
Indiana,0,31-40,839602
Indiana,0,41-50,813349
Indiana,0,51-60,880780
Indiana,0,61-70,746622
Indiana,0,71+,641743
Indiana,0,Total,6689037
Indiana,1,10-Jan,480599
Indiana,1,20-Nov,466915
Indiana,1,21-30,466325
Indiana,1,31-40,418904
Indiana,1,41-50,405873
Indiana,1,51-60,432398
Indiana,1,61-70,356943
Indiana,1,71+,269914
Indiana,1,Total,3297871
Indiana,2,10-Jan,457483
Indiana,2,20-Nov,444519
Indiana,2,21-30,451100
Indiana,2,31-40,420698
Indiana,2,41-50,407476
Indiana,2,51-60,448382
Indiana,2,61-70,389679
Indiana,2,71+,371829
Indiana,2,Total,3391166
Iowa,0,10-Jan,441442
Iowa,0,20-Nov,428297
Iowa,0,21-30,421031
Iowa,0,31-40,394943
Iowa,0,41-50,357962
Iowa,0,51-60,409466
Iowa,0,61-70,364396
Iowa,0,71+,336807
Iowa,0,Total,3154344
Iowa,1,10-Jan,225820
Iowa,1,20-Nov,219008
Iowa,1,21-30,217346
Iowa,1,31-40,201073
Iowa,1,41-50,181037
Iowa,1,51-60,203319
Iowa,1,61-70,178666
Iowa,1,71+,143027
Iowa,1,Total,1569296
Iowa,2,10-Jan,215622
Iowa,2,20-Nov,209289
Iowa,2,21-30,203685
Iowa,2,31-40,193870
Iowa,2,41-50,176925
Iowa,2,51-60,206147
Iowa,2,61-70,185730
Iowa,2,71+,193780
Iowa,2,Total,1585048
Kansas,0,10-Jan,427496
Kansas,0,20-Nov,401181
Kansas,0,21-30,389595
Kansas,0,31-40,369458
Kansas,0,41-50,328331
Kansas,0,51-60,366337
Kansas,0,61-70,320998
Kansas,0,71+,285376
Kansas,0,Total,2888772
Kansas,1,10-Jan,218429
Kansas,1,20-Nov,205811
Kansas,1,21-30,199208
Kansas,1,31-40,184979
Kansas,1,41-50,164412
Kansas,1,51-60,180090
Kansas,1,61-70,155645
Kansas,1,71+,122209
Kansas,1,Total,1430783
Kansas,2,10-Jan,209067
Kansas,2,20-Nov,195370
Kansas,2,21-30,190387
Kansas,2,31-40,184479
Kansas,2,41-50,163919
Kansas,2,51-60,186247
Kansas,2,61-70,165353
Kansas,2,71+,163167
Kansas,2,Total,1457989
Kentucky,0,10-Jan,609109
Kentucky,0,20-Nov,573372
Kentucky,0,21-30,600232
Kentucky,0,31-40,552285
Kentucky,0,41-50,553202
Kentucky,0,51-60,603994
Kentucky,0,61-70,519034
Kentucky,0,71+,440455
Kentucky,0,Total,4451683
Kentucky,1,10-Jan,312225
Kentucky,1,20-Nov,293476
Kentucky,1,21-30,305235
Kentucky,1,31-40,275107
Kentucky,1,41-50,274485
Kentucky,1,51-60,294067
Kentucky,1,61-70,246282
Kentucky,1,71+,186628
Kentucky,1,Total,2187505
Kentucky,2,10-Jan,296884
Kentucky,2,20-Nov,279896
Kentucky,2,21-30,294997
